Arroz, integral, cozido;70,1;124;517
Arroz, integral, cru;12,2;360;1505
Arroz, tipo 1, cozido;69,1;128;537
Arroz, tipo 1, cru;13,2;358;1497
Arroz, tipo 2, cozido;68,7;130;544
Arroz, tipo 2, cru;13,2;358;1498
Aveia, flocos, crua;9,1;394;1648
Biscoito, doce, maisena;3,2;443;1853
Biscoito, doce, recheado com chocolate;2,2;472;1974
Biscoito, doce, recheado com morango;2,7;471;1971
